Event Desc|En No|Site Name|Licensee Name|Region No|City Name|State Cd|County Name|License No|Agreement State Ind|Docket No|Unit Ind1|Unit Ind2|Unit Ind3|Reactor Type|Nrc Notified By|Ops Officer|Notification Dt|Notification Time|Event Dt|Event Time|Time Zone|Last Updated Dt|Emergency Class|Cfr Cd1|Cfr Descr1|Cfr Cd2|Cfr Descr2|Cfr Cd3|Cfr Descr3|Cfr Cd4|Cfr Descr4|Staff Name1|Org Abbrev1|Staff Name2|Org Abbrev2|Staff Name3|Org Abbrev3|Staff Name4|Org Abbrev4|Staff Name5|Org Abbrev5|Staff Name6|Org Abbrev6|Staff Name7|Org Abbrev7|Staff Name8|Org Abbrev8|Staff Name9|Org Abbrev9|Staff Name10|Org Abbrev10|Scram Code 1|RX CRIT 1|Initial PWR 1|Initial RX Mode1|Current PWR 1|Current RX Mode 1|Scram Code 2|RX CRIT 2|Initial PWR 2|Initial RX Mode 2|Current PWR 2|Current RX Mode 2|Scram Code 3|RX CRIT 3|Initial PWR 3|Initial RX Mode 3|Current PWR 3|Current RX Mode 3|Event Text|
Power Reactor|46686|BYRON|EXELON NUCLEAR CO.|3|BYRON|IL|OGLE||Y|05000454|1|||[1] W-4-LP,[2] W-4-LP|MIKE LINDEMANN|DONALD NORWOOD|3/19/2011 00:00:00|16:21|3/19/2011 00:00:00|08:00|CDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(A)|DEGRADED CONDITION|||||||KENNETH RIEMER|R3DO|||||||||||||||||||N|N|0|Refueling|0|Refueling|N|N|0||0||N|N|0||0||ULTRASONIC EXAMINATION RESULTS IN INDICATIONS ON TWO REACTOR HEAD PENETRATIONS  "On March 19, 2011, during the Byron Station Unit 1 refueling outage, it was determined that the results of planned ultrasonic (UT) examinations performed on two penetrations of the reactor vessel head would not meet the applicable acceptance criteria.  Both require repair prior to returning the vessel head to service.  These indications are not in the reactor coolant pressure boundary; however they are very near the toe of the J-groove weld.  The examinations were being performed to meet the requirements of 10CFR50.55a(g)(6)(ii)(D) and ASME Code Case N-729-1, to ensure the structural integrity of the reactor vessel head pressure boundary.  The UT examinations continue for the remaining head penetrations.  All of the penetrations will be examined during the current refueling outage.  Repairs are currently being planned and will be competed prior to startup.  "This is reportable pursuant to 10CFR50.72(b)(3)(ii)(A) since the as found indications did not meet the applicable acceptance criteria referenced in ASME Code Case N-729-1 to remain in-service without repair.  "The NRC Resident Inspector has been notified."  * * * UPDATE FROM BLAINE PETERS TO JOHN SHOEMAKER AT 0910 EDT ON 03/30/11 * * *  "Ultrasonic examination [made on March 19, 2011] resulted in indications on two reactor head penetrations.  "As mentioned in Event Notification 46686, reactor vessel head penetrations [In-service inspection] ISI examinations were still in progress.  On Wednesday, March 30, 2011, two additional Unit 1 reactor head penetrations were found to contain indications that will require repair prior to returning the reactor head to service.  The indications on these two penetrations are within the reactor vessel head pressure boundary."  The NRC Resident Inspector has been notified by the licensee.  Notified the R3DO (Peterson).|
Power Reactor|46687|GRAND GULF|ENTERGY NUCLEAR|4|PORT GIBSON|MS|CLAIBORNE||Y|05000416|1|||[1] GE-6|RICKY LIDDELL|VINCE KLCO|3/20/2011 00:00:00|07:08|3/19/2011 00:00:00|22:36|CDT|3/20/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||CHUCK CAIN|R4DO|||||||||||||||||||N|Y|96|Power Operation|96|Power Operation|N|N|0||0||N|N|0||0||HIGH PRESSURE CORE SPRAY VALVE BREAKER OVERCURRENT TRIP SETPOINT OUT OF TOLERANCE  "During testing of the High Pressure Core Spray [HPCS] system minimum flow valve breaker, it was discovered that the overcurrent trip setpoint was out of tolerance. This testing was being performed as a result of a breaker trip that occurred during a surveillance. The discovery occurred while the system was inoperable for maintenance and no TS [Technical Specification] limits or action times were exceeded."  The overcurrent trip setpoint was placed within tolerance and HPCS is in operable status.  The licensee notified the NRC Resident Inspector.|
Power Reactor|46688|FORT CALHOUN|OMAHA PUBLIC POWER DISTRICT|4|FORT CALHOUN|NE|WASHINGTON||Y|05000285|1|||(1) CE|DONNA GUINN|CHARLES TEAL|3/21/2011 00:00:00|13:19|3/18/2011 00:00:00||CDT|3/21/2011 00:00:00|NON EMERGENCY|21.21|UNSPECIFIED PARAGRAPH|||||||GREG PICK|R4DO|PART 21 GROUP||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||DEFECTIVE KPR-14DG-125 RELAYS DISCOVERED DURING BENCH TESTING  "The following event description is based on information currently available.  The condition is reported under 10 CFR 21.21(d)(3)(i).  "Part 21 Report - Potter Brumfield KRP-14DG-125 Relays, supplied by Southern Testing Services (STS) division of Argo Turboserve Corporation (ATC).  "On March 17, 2011, during bench testing of the KRP-14DG-125 Relays, Fort Calhoun Station (FCS) discovered that some of these relays were defective in that one of the contacts would not close properly after energizing and de-energizing the relay coils.  If installed in the plant, the improper closure of this contact could defeat the safety function of the relays that provide a signal to the component supported by that contact.  This deviation from the design specifications is reportable per 10 CFR 21.  FCS does not have any of the affected relays installed in the plant.  "FCS returned the batch of relays to the vendor for further failure modes and effects evaluation and reporting.    "FCS has not provided any of these relays from our stock to any other licensee.  "The vendor and the [NRC] Resident Inspector have been notified."|
Power Reactor|46689|FORT CALHOUN|OMAHA PUBLIC POWER DISTRICT|4|FORT CALHOUN|NE|WASHINGTON||Y|05000285|1|||(1) CE|ROBERT KROS|MARK ABRAMOVITZ|3/22/2011 00:00:00|14:22|3/22/2011 00:00:00|10:58|CDT|3/22/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||GREG PICK|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||CONTAINMENT COOLERS DECLARED INOPERABLE  "At 10:58 CDT, today during the performance of IC-ST-IA-3010B, I&C found NG-HCV-400A-A3, CCW INLET VALVE HCV-400A NITROGEN SUPPLY ISOLATION VALVE, closed which is required to remain open for VA-3A to remain operable.  This valve supplies backup nitrogen to VA-3A CCW cooler isolation valve HCV-400A on loss of instrument air to maintain cooling flow to the ventilation during an accident condition.  While the nitrogen valve NG-HCV-400A-A3 was closed, performance of IC-ST-IA-3010B on VA-3B, CONTAINMENT AIR RECIR FAN, placed the containment cooler in an inoperable status.  This led to Technical Specification 2.0.1 entry due to both trains of cooling being inoperable.  The cause for the mispositioning of NG-HCV-400A-A3 is unknown at this time.  The inoperability of VA-3A along with VA-3B rendered the containment cooling trains unavailable to perform their safety function during an accident condition.  This condition is being reported pursuant to 10 CFR 50.72(b)(3)(V)(D) for mitigating the consequences of an accident.  FCS entered into Technical Specification at 10:58 CDT and exited Technical Specification at 11:14 CDT."  The licensee notified the NRC Resident Inspector.|
Power Reactor|46690|FORT CALHOUN|OMAHA PUBLIC POWER DISTRICT|4|FORT CALHOUN|NE|WASHINGTON||Y|05000285|1|||(1) CE|ERICK MATZKE|MARK ABRAMOVITZ|3/22/2011 00:00:00|17:11|3/22/2011 00:00:00|13:08|CDT|3/22/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||GREG PICK|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||POTENTIAL FLOODING OF RAW WATER PUMP  "During ongoing investigations of flood barrier penetrations at the station, a weakness in the flood protection strategy that would prevent protection of the raw water pumps for floods above 1007'-6" Mean Sea Level (MSL) was discovered.  Cell in-leakage through penetrations at 997' 10" MSL would be beyond the capacity of the raw water pumps.  During the preparation of a calculation to demonstrate the validity of this method it was determined that the grid backwash pipe for each grid and the surface sluice penetrate the east wall of the intake structure through an unsealed penetration (a total of 7 penetrations).  The grid backwash line is an 18" pipe passing through a 24" sleeve.  Flooding through the penetrations could have impacted the ability of the station's raw water pumps to perform their design accident mitigation functions.    "This eight-hour notification is being made pursuant to 10 CFR 50.72 (b)(3)(v).  "The penetration is at an elevation of 997'10" MSL.  The design flood for the station is at 1014' MSL.  The raw water pumps would not be affected until a river level of 1007'6" MSL was reached.  The river level is currently approximately 993.5' MSL and has been less than 995'MSL since prior to December 1, 2010.  The raw water pumps are currently operable.  The National Weather Service Weather Forecast Office is predicting a rise in river level of 2 feet over the next 5 days. Actions are in progress to seal the penetration."  The licensee has instituted a temporary plug contingency plan dependant on river level.  The licensee will notify the NRC Resident Inspector.|
Agreement State|46691|UTAH DIVISION OF RADIATION CONTROL|APPLIED GEOTECHNICAL ENGINEERING CONSULTANTS INC|4|LINDON|UT||UT1800298|Y||||||GWYN GALLOWAY|MARK ABRAMOVITZ|3/22/2011 00:00:00|20:45|3/22/2011 00:00:00|17:35|MDT|3/22/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||GREG PICK|R4DO|JIM WHITNEY|ILTA|ANGELA MCINTOSH|FSME|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||MOISTURE DENSITY GAUGE STOLEN AND RECOVERED  "A Troxler Electronic Laboratories, Inc. Model 3430, portable gauging device [serial number 22936, containing approximately 8.0 millicuries of cesium-137, and approximately 40 millicuries of americium-241/beryllium] was stolen from the licensee's vehicle while parked at the Home Depot in Lindon, Utah. The Cs-137 source was in the safe shielded position when it was stolen and the transportation case was also secured. The device had been secured by two independent physical barriers, but both barriers were breached. The device was recovered at approximately 5:55 p.m. MST by licensee personnel. The transportation case had been opened, but the source rod was still secured in the shielded position.  "The licensee's vehicle was an open bed pickup truck with a mechanism to secure the device as required."  Utah Report: UT110001  THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL  Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf|
Part 21|46692|AUTOMATIC VALVE|AUTOMATIC VALVE|3|NOVI|MI|||N||||||KEVIN ARMSTRONG|PETE SNYDER|3/23/2011 00:00:00|16:24|3/22/2011 00:00:00||EDT|3/23/2011 00:00:00|NON EMERGENCY|21.21|UNSPECIFIED PARAGRAPH|||||||JOHN ROGGE|R1DO|DANIEL RICH|R2DO|PART 21 GROUP|EMAI|||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||VALVE PLUNGER GUIDE MALFUNCTION  "Initial Concern: Valve, serial number 73386, does not consistently return to the closed position."  "Nature of the Defect: A dent in the plunger guide may prevent the valve from changing state.  "Number and Location of Components: "Model: U0204GBBR-AA      Quantity: 32  Customer: EXELON LIMERICK, "Model: U0204GBBR-DEEL  Quantity: 30  Customer: ALABAMA POWER FARLEY "Model: U0204GBBR-DE      Quantity: 4    Customer: ALABAMA POWER FARLEY "Model: U0204FBBR-DE      Quantity: 8    Customer: RALPH A. HILLER "Model: U0204GBBR-DEL   Quantity: 4    Customer: DRESSER MASONEILAN "Model: U0204GBBR-DEP   Quantity: 3   Customer: DRESSER MASONEILAN  "Advice to Purchasers:  "Any of the valves identified above may be inspected by removing the coil and checking the plunger guide for any defects. A dent which will prevent plunger movement is noticeable without magnification.  It typically occurs approximately 0.10 inches from the base of the valve.  Any valves thought to contain defects will be rebuilt or replaced by Automatic Valve."|
Power Reactor|46693|CALLAWAY|AMEREN UE|4|FULTON|MO|CALLAWAY||N|05000483|1|||[1] W-4-LP|DAVID HURT|JOHN SHOEMAKER|3/24/2011 00:00:00|06:02|3/23/2011 00:00:00|23:54|CDT|3/24/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(B)|UNANALYZED CONDITION|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||GREG PICK|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||PRESSURE TRANSMITTERS NEEDED FOR AUXILIARY FEEDWATER SUCTION PATH NOT ANALYZED FOR POTENTIAL HIGH ENERGY LINE BREAK  "While performing an extent of condition review of high energy line break (HELB) analyses, a detailed review of the auxiliary steam system was being performed.  During this review, sections of pipe that run through rooms 1206/1207 in the Auxiliary Building were identified that have design ratings indicating that they could possibly be classified as high energy lines.   "The pipes were verified to have not been considered in the current HELB analyses. This condition affects pressure transmitters ALPT0037, 38, & 39 which are not qualified for operation in a harsh environment.  These pressure transmitters provide the Auxiliary Feedwater Pump [AFW] Suction Transfer signal on low suction pressure from the non safety Condensate Storage Tank to the Safety Related supply (Essential Service Water).  "Technical Specification [TS] 3.3.2-6.h bases state: "since these detectors are in an area not affected by HELBs or high radiation, they will not experience any adverse environmental conditions and the Trip Setpoint reflects only steady state instrument uncertainties."   "Based upon the above bases, with the identified aux steam lines in service, the pressure transmitter's operability could not be assured.  This represented an unanalyzed condition and had the potential to affect equipment used for accident mitigation.  TS 3.0.3 was entered at time 2354 [CST] on 3/23/2011.  At 0009 [CST] on 3/24/2011, Aux Steam valves FBV0158, FBV0I48, FAV0002, and FAV0003 were isolated, removing the HELB concern [TS 3.0.3 was exited at this time].  These are the active feed [isolation valves] to the lines passing through the Aux Building Rooms 1206/1207."  The licensee notified the NRC Resident Inspector.|
Power Reactor|46694|BRAIDWOOD|EXELON NUCLEAR CO.|3|BRACEVILLE|IL|WILL||Y|||2||[1] W-4-LP,[2] W-4-LP|SCOTT BUTLER|JOHN SHOEMAKER|3/24/2011 00:00:00|11:39|3/24/2011 00:00:00|10:18|CDT|3/24/2011 00:00:00|UNUSUAL EVENT|50.72(a) (1) (i)|EMERGENCY DECLARED|||||||JAMNES CAMERON|R3DO|WILLIAM GOTT|IRD|ERIC LEEDS|NRR|CYNTHIA PEDERSON|R3|JOHN KNOX|DHS|LORI BURCKART|FEMA|||||||||N|N|0||0||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||UNEXPECTED LOSS OF ANNUCIATORS DURING PLANNED MAINTENANCE  "During a planned maintenance activity on the Unit 2 main control room alarm cabinets, it was identified that all Unit 2 safety system annunciators were lost.  This was identified at 1006 [CDT].  Main Control Board indicators remained functional.  At 1018 [CDT], the Shift Manager declared an Unusual Event under Emergency Action Level MU6.  This was due to an unplanned loss of most (approximately 75%) safety system annunciators for > 15 minutes.  The planned maintenance activity was not expected to affect the amount of annunciators that were lost.  "At 1030 [CST], the [planned maintenance] clearance order was cleared and power was restored to the Unit 2 annunciators."  There was not transient on other plant equipment and the plant remained stable before and after this event.  The cause for the unexpected loss of annunciators is not clearly understood and is still under investigation.  The licensee notified the NRC Resident Inspector.    * * * UPDATE FROM SCOTT BUTLER TO JOHN SHOEMAKER AT 1216 EDT ON 03/24/11 * * *  The Unusual Event was terminated at 1047 CDT on 03/24/11.  All annunciators have been restored and an investigation will be conducted to determine the cause.  Notified R3DO (Cameron)|
Non-Agreement State|46695|GRADY MEMORIAL HOSPITAL|VARIAN MEDICAL SYSTEMS|1|CHARLOTSVILLE|VA||45-30957-01|Y||||||RICHARD PICCOLO|CHARLES TEAL|3/24/2011 00:00:00|16:20|3/23/2011 00:00:00|03:00|EDT|3/24/2011 00:00:00|NON EMERGENCY|30.50(b)(2)|SAFETY EQUIPMENT FAILURE|||||||JOHN ROGGE|R1DO|KEVIN HSUEH|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||EMERGENCY RETRACT MECHANISM FAILURE  The Varian equipment representative provided notification of the following event that occurred at the Grady Memorial Hospital in Atlanta, GA.  A technician was installing a Varisource IX high-dose afterloader when the active wire composed of a 10 Ci Ir-192 source failed to extend.  After troubleshooting it was discovered that the wire was stuck on the wedge block which is part of the emergency retract mechanism.  The active wire was removed and the emergency retract mechanism was replaced.    The technician received 0.2 mrem during the repair work.|
Fuel Cycle Facility|46696|LOUISIANA ENERGY SERVICES|LOUISIANA ENERGY SERVICES, L.P.|2|EUNICE|NM|LEA|SNM-2010|Y|70-3103|||||JACK ROLLINS|PETE SNYDER|3/24/2011 00:00:00|19:02|1/28/2011 00:00:00||MDT|3/24/2011 00:00:00|NON EMERGENCY|21.21|UNSPECIFIED PARAGRAPH|||||||DANIEL RICH|R2DO|PART 21 MATERIALS GR|EMAI|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||TURNBUCKLE COLLAR THREADS OUT OF TOLERANCE  "Name of firm constructing or supplying the basic component which fails to comply or contains a defect: OFI Fabrication, Richmond, VA.  "Safety Hazard: Failure of turnbuckles could ultimately cause a failure of IROFS41 (i.e. breach of UF6 piping) during a seismic event resulting in release of licensed material, but this release would not exceed 10 CFR 70.61 requirements for the public or workers.  "The date on which the information or such defect or failure to comply was obtained: January 28, 2011.  "In a case of a basic component which contains a defect or a failure to comply, the number and location of all such components in use at or supplied for the URENCO USA Facility: Currently there are 164 non-defective components installed and 96 non-defective components in storage.  "The corrective action which has been, is being, or will be taken; the name of the individual or organization responsible for the action; and the length of time that has been or will be taken to complete the action: Replacement NQA-1 turnbuckles were installed; and the Receipt Inspection Plan (RIP) for turnbuckles (collar as well as paddle assembly) was revised to include 100 percent verification of thread tolerances. All out of tolerance turnbuckle collars were returned to the vendor.  "Any advice related to the defect or failure to comply about the facility, activity, or basic component that has been, is being, or will be given to purchasers or licensees: Implement 100 percent verification of turnbuckle collar thread tolerances using appropriate 'Go-No Go' thread gauges."|
Power Reactor|46697|NORTH ANNA|DOMINION GENERATION|2|RICHMOND|VA|LOUISA||N|05000338|1|2||[1] W-3-LP,[2] W-3-LP|DON TAYLOR|CHARLES TEAL|3/25/2011 00:00:00|11:14|3/24/2011 00:00:00|14:00|EDT|3/25/2011 00:00:00|NON EMERGENCY||OTHER UNSPEC REQMNT|||||||DANIEL RICH|R2DO|MARISSA BAILEY|NMSS|||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||NON-COMPLIANCE WITH NUHOMS TECHNICAL SPECIFICATION  "This 24-hour report is being issued in accordance with the requirements of NRC Certificate of Compliance 1030, Amendment 0, for the NUHOMS Storage System, Technical Specification (TS) 2.2, Functional Operating Limit Violations.  "During a review of historical North Anna NUHOMS dry storage canister (DSC) loading certification documents, a discrepancy was identified.  The NUHOMS Certificate of Compliance 1030 Amendment 0 Technical Specifications include a Figure 2, "Heat Load Zones" which specifies the maximum decay heat load for each of the 32 assembly locations in a DSC.  The figure includes limits for two zone '1b' locations and two zone '1a' locations in the four center locations of the DSC.  The zone '1b' decay heat limit of 0.8 kw is specified for the two 'upper compartments' and zone '1a' decay heat limit of 1.05 kw is specified for the two 'lower compartments' on the figure.  Contrary to this, the loading certifications for 7 of 10 DSCs already loaded at NAPS (North Anna Power Station) were not developed to maintain this orientation when loaded in the horizontal storage module (HSM).  As a result, the DSC zone '1b' heat load limits were exceeded in some cases for these 7 DSCs.  "The heat load limit for all other zones in the DSCs are symmetric, and those assemblies were verified to the correct limit and are unaffected by this error.  In addition the total heat load limit for the sum of the center assemblies was met for all DSCs.  The maximum heat load of any zone '1b' assembly at the time of loading was 0.859 kw, which is slightly higher than the 0.8 kw limit.  The lower heat load of assemblies in the other compartments offset the slightly higher heat load effects, and it is expected that the thermal analysis acceptance criteria would still have been met at the time of loading.  "The decay heat of the assemblies has continued to decrease since their initial loading and it was confirmed that 12 of the 13 assemblies that initially exceeded the 0.8 kw limit currently meet the zone '1b' heat load limits.  The current decay heat of the remaining assembly is slightly above the 0.8 kw limit.  Based on the offsetting margins identified above all of the affected DSCs are currently in a safe condition as loaded in the HSMs."  The NRC Resident Inspector has been informed.|
Power Reactor|46698|SURRY|DOMINION GENERATION|2|SURRY|VA|SURRY||N|05000280|1|2||[1] W-3-LP,[2] W-3-LP|RETT GARNER|CHARLES TEAL|3/25/2011 00:00:00|11:40|3/25/2011 00:00:00||EDT|3/25/2011 00:00:00|NON EMERGENCY||OTHER UNSPEC REQMNT|||||||DANIEL RICH|R2DO|MARISSA BAILEY|NMSS|||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|Y|98|Power Operation|98|Power Operation|N|N|0||0||NON-COMPLIANCE WITH NUHOMS TECHNICAL SPECIFICATION  "This 24-hour report is being issued in accordance with the requirements of NRC Certificate of Compliance 1030, Amendment 0, for the NUHOMS Storage System, Technical Specification (TS) 2.2, Functional Operating Limit Violations.  "During a review of historical Surry NUHOMS Dry Storage Canister (DSC) loading certification documents, a discrepancy was identified.  The NUHOMS Certificate of Compliance 1030 Amendment 0 Technical Specifications include a Figure 2, 'Heat Load Zones' which specifies the maximum decay heat load for each of the 32 assembly locations in a DSC.  The figure includes limits for two zone '1b' locations and two zone '1a' locations in the four center locations of the DSC.  The zone '1b' decay heat limit of 0.800 kw is specified for the two 'upper compartments' and zone '1a' decay heat limit of 1.05 kw is specified for the two 'lower compartments' on the figure.  Contrary to this, the loading certifications for 6 of 12 DSCs already loaded at Surry were not developed to maintain this orientation when loaded in the horizontal storage module (HSM).  As a result, the DSC zone '1b' heat load limits were exceeded in some cases for these 4 DSCs.  "The heat load limit for all other zones in the DSCs are symmetric, and those assemblies were verified to the correct limit and are unaffected by this error.  In addition the total heat load limit for the sum of the center assemblies was met for all DSCs.  The maximum heat load of any zone '1b' assembly at the time of loading was 0.806 kw, which is slightly higher than the 0.800 kw limit.  The lower heat load of assemblies in the other compartments offset the slightly higher heat load effects, and it is expected that the thermal analysis acceptance criteria would still have been met at the time of loading.  "The decay heat of the assemblies has continued to decrease since their initial loading and all assemblies currently meet the upper central compartment limits.  The affected fuel assemblies are in a safe condition as required by NUHOMS TS 2.2.1.  "The NRC Resident Inspector has been notified of this event."|
Power Reactor|46699|PRAIRIE ISLAND|NUCLEAR MANAGEMENT COMPANY|3|WELCH|MN|GOODHUE||N|05000282|1|||[1] W-2-LP,[2] W-2-LP|TERRY BACON|BILL HUFFMAN|3/25/2011 00:00:00|17:27|3/25/2011 00:00:00|10:53|CDT|3/29/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(ii)(B)|UNANALYZED CONDITION|||||||JAMNES CAMERON|R3DO|||||||||||||||||||N|Y|99|Power Operation|98|Power Operation|N|N|0||0||N|N|0||0||POTENTIAL UNANALYZED CONDITION DUE TO POWER LEVEL GREATER THAN LIMIT  "During performance of maintenance to troubleshoot the B feedwater regulating bypass valve, the Thermal Power Monitor (TPM) indication exceeded the maximum thermal power assumed in the Safety Analysis Report. Operators were maintaining 12 Steam Generator (SG) water level in a band from 40 to 48 percent by controlling the B Feed Regulating Valve (FRV) in manual from the Control Room. Operators noted a power increase; adjustments were made via the FRV to reduce SG water level, however the valve response was sluggish and thermal power exceeded 100%. Immediate steps were taken to reduce power to below 100% by reducing 1st stage turbine pressure and inserting Bank D control rods 7 steps.  "The TPM indication was above the maximum thermal power limit of 100.36% for 1.68 minutes. The TPM indication peak was 100.39%.  No concurrent increase in power was observed by the nuclear indication system.  "NRC Resident had been informed."  * * * RETRACTION FROM JOHN KEMPKES TO JOHN SHOEMAKER AT 1350 EDT ON 03/29/11 * * *  "An eight hour report (EN #46699) per 10 CFR 50.72(b)(3)(ii)(B) was conservatively reported on March 25, 2011 for Thermal Power Monitor indication above the maximum thermal power limit of 100.36% for 1.68 minutes.  "Subsequent engineering investigation has determined that this specific transient had been previously analyzed.  The transient was within the bounds of the safety analysis.  "The 10 CFR 50.72(b)(3)(ii)(8) report (EN #46699) is retracted.  "NRC Resident has been informed."  Notified R3DO (Peterson).|
Power Reactor|46700|BEAVER VALLEY|FIRSTENERGY NUCLEAR OPERATING COMPANY|1|SHIPPINGPORT|PA|BEAVER||N|||2||[1] W-3-LP,[2] W-3-LP|DANIEL SCHWER|BILL HUFFMAN|3/25/2011 00:00:00|21:35|3/25/2011 00:00:00|14:00|EDT|3/27/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||JOHN ROGGE|R1DO|||||||||||||||||||N|N|0||0||N|N|0|Refueling|0|Refueling|N|N|0||0||BOTH TRAINS OF EMERGENCY DIESEL GENERATORS ARE INOPERABLE  "On March 25, 2011, the Train B emergency diesel generator (2EGS-EG2-2) was inoperable and unavailable due to being out of service for scheduled maintenance. At 1400 hours, the Train A emergency diesel generator (2EGS-EG2-1) was declared inoperable, but available, after questions were raised about the adequacy of the assembly method for fuel injection line compression fittings by the manufacturer.  Without assurance that the fittings meet full qualification requirements, the Train A emergency diesel generator was declared inoperable.  "The Unit is currently in Mode 6 with fuel loaded and the upper internals installed in the reactor vessel. The reactor vessel head is removed with 23 feet of water in the cavity, two Operable Residual Heat Removal trains one of which is in operation. With both emergency diesels inoperable, the safety functions needed for accident mitigation could be impaired in the event of a loss of off-site power. Actions are currently in progress to restore one emergency diesel generator to an Operable status.  "This event is reportable pursuant to 10 CFR 50.72(b)(3)(v)(D) due to both emergency diesel generators being inoperable. This event will be evaluated for 10 CFR Part 21 applicability."  The licensee is in Technical Specification 3.8.2.  With both diesels declared inoperable, they have to suspend all core alterations and possible reactivity additions and return an EDG to service.  The licensee plans to return the B train EDG an available status (but not Operable per Technical Specification) by tomorrow.  The licensee will then replace the discrepant fuel injector line compression fittings on the A train and return it to Technical Specification Operable status.  The licensee has notified the NRC Resident Inspector.  * * * UPDATE AT 0226 ON 3/27/11 FROM DANIEL SCHWER TO MARK ABRAMOVITZ * * *  "Following replacement of the questionable fuel injection line compression fittings and successful surveillance and post maintenance testing, the Train A emergency Diesel Generator (2EGS-EG2-1) was declared OPERABLE at 0058 hours on 3/27/2011.  One Diesel Generator was maintained available at all times while the issue was being addressed."  The licensee notified the NRC Resident Inspector.  Notified the R1DO (Rogge).|
Power Reactor|46701|DIABLO CANYON|PACIFIC GAS & ELECTRIC CO.|4|SAN LUIS OBISPO COUNTY|CA|SAN LUIS OBISPO||Y|||2||[1] W-4-LP,[2] W-4-LP|DOUGLAS DYE|HOWIE CROUCH|3/26/2011 00:00:00|21:10|3/26/2011 00:00:00|14:49|PDT|3/26/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(iv)(B)|RPS ACTUATION - CRITICAL|50.72(b)(3)(iv)(A)|VALID SPECIF SYS ACTUATION|||||GREG PICK|R4DO|||||||||||||||||||N|N|0||0||M/R|Y|88|Power Operation|0|Hot Standby|N|N|0||0||MANUAL REACTOR TRIP WHEN A LOSS OF THE 2-1 MAIN FEEDWATER PUMP OCCURRED  "This notification provides the 4-hour non-emergency event report for the manual reactor trip of Diablo Canyon Power Plant Unit 2 in accordance with 10 CFR 50.72(b)(2)(iv)(B) 'RPS Actuation (scram)'. Additionally, this notification provides the 8-hour non-emergency event report of the automatic actuation of the auxiliary feedwater system as a result of the reactor trip in accordance with 10 CFR 50.72(b)(3)(iv)(A) 'Specified System Actuation'.  "On March 26, 2011 at 1449 PDT operators at Diablo Canyon Power Plant Unit 2 manually initiated a reactor trip in response to loss of main feedwater pump 2-1. The main feedwater pump is believed to have tripped due to non-radioactive water spray on its control console. The water spray was caused by leakage from the flange of the relief valve on the feedwater heater 2-1A condenser dump valve line. Emergency plan activation was not required.  The unit is stable in mode 3 (Hot Standby) with offsite power being supplied to all buses via the 230 kV startup circuit. Diesel generators 2-1 and 2-2 remain OPERABLE in standby. Diesel generator 2-3 remains unavailable due to pre-planned maintenance. All rods fully inserted on the reactor trip. The reactor is being cooled by the auxiliary feedwater system with the condenser in service. All systems performed as designed with no unexpected pressure or level transients. ECCS actuation was not required. Automatic main feedwater isolation, auxiliary feedwater actuation, and steam generator blowdown isolation occurred as expected.  "Unit 1 was unaffected by this event and remains at 100% power."  The licensee has notified the NRC Resident Inspector, San Luis Obispo County, and the State of California.|
